STT,Tên doanh nghiệp,Ngành,Tình trạng
85,TỔNG CÔNG TY CỔ PHẦN PHÁT TRIỂN KHU CÔNG NGHIỆP,Bất động sản - Xây dựng
86,TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL,Logistics
87,NGÂN HÀNG TMCP KIÊN LONG,Ngân hàng
88,CÔNG TY CỔ PHẦN TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,Bất động sản - Xây dựng
89,CÔNG TY CỔ PHẦN MONDELEZ KINH ĐÔ VIỆT NAM,Thực phẩm - Đồ uống
90,CÔNG TY CỔ PHẦN BIBICA,Thực phẩm - Đồ uống
91,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,Ngân hàng
92,TỔNG CÔNG TY BẢO VIỆT NHÂN THỌ,Bảo hiểm
93,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,Logistics
94,CÔNG TY CỔ PHẦN DU LỊCH VÀ TIẾP THỊ GIAO THÔNG VẬN TẢI VIỆT NAM - VIETRAVEL,Du lịch
95,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST,Chế biến - Chế tạo
96,CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM,Bán lẻ
97,CÔNG TY CỔ PHẦN TẬP ĐOÀN NAGAKAWA,Chế biến - Chế tạo
98,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU BÌNH TÂY,Chế biến - Chế tạo
99,CÔNG TY CỔ PHẦN VẬN TẢI BIỂN GLOBAL PACIFIC,Logistics
100,CÔNG TY CHO THUÊ TÀI CHÍNH TNHH BIDV-SUMI TRUST,Tài chính - Chứng khoán
